"Group.1","Group.2","Group.3","V1","V2"
2012,"34E5","Bass",0.5968,3441.81
2013,"34E5","Bass",0.5556,2167.16
2014,"34E5","Bass",0.6023,3310.92
2015,"34E5","Bass",0.6123,4070.2
2016,"34E5","Bass",1.1496,8760.45
2013,"34F0","Bass",0.0185,122.05
2014,"34F0","Bass",0.1393,877.38
2015,"34F0","Bass",0.4356,2852.2
2016,"34F0","Bass",0.5713,4937.35
2012,"34F1","Bass",2.8227,16364.51
2013,"34F1","Bass",1.5934,11988.31
2014,"34F1","Bass",1.2208,10073.79
2015,"34F1","Bass",1.035,8249.02
2016,"34F1","Bass",1.9099,14566.38
2012,"34F2","Bass",0.0025,14.15
2013,"34F2","Bass",0.0876,892.8
2014,"34F2","Bass",0.0546,567.68
2015,"34F2","Bass",0.0428,413.72
2016,"34F2","Bass",0.0251,263.91
2012,"34F3","Bass",0.0514,376.5
2013,"34F3","Bass",0.0076,71.81
2014,"34F3","Bass",0.0034,34.52
2015,"34F3","Bass",0.0098,82.44
2016,"34F3","Bass",0.0226,186.49
2013,"34F4","Bass",0.001,8.5
2015,"34F4","Bass",0.0086,102.53
2014,"35E0","Bass",0.0042,25.5
2012,"35E4","Bass",6e-04,8.58
2013,"35E4","Bass",0.0035,28
2014,"35E4","Bass",0.0047,30.01
2016,"35E4","Bass",0.002,17
2012,"35E5","Bass",0.1816,1170.09
2013,"35E5","Bass",0.0201,108
2014,"35E5","Bass",0.3482,2478.79
2015,"35E5","Bass",1.5922,13739.94
2016,"35E5","Bass",1.7902,16727.69
2012,"35E6","Bass",2.2852,14196.69
2013,"35E6","Bass",2.4046,13876.89
2014,"35E6","Bass",2.4462,13619.61
2015,"35E6","Bass",2.9174,20976.45
2016,"35E6","Bass",2.4476,22132.91
2012,"35F0","Bass",0.1185,634.4
2013,"35F0","Bass",0.326,2546.95
2014,"35F0","Bass",0.37,2970.45
2015,"35F0","Bass",0.7788,5317.35
2016,"35F0","Bass",0.1949,1297.15
2012,"35F1","Bass",2.5171,14948.99
2013,"35F1","Bass",0.0857,379
2014,"35F1","Bass",0.1772,1127.5
2015,"35F1","Bass",0.092,656
2012,"35F2","Bass",3e-04,1.5
2013,"35F2","Bass",0.0044,49.44
2014,"35F2","Bass",0.0041,36.04
2015,"35F3","Bass",2e-04,2.58
2012,"36E4","Bass",0.005,37.57
2013,"36E4","Bass",0.014,63.5
2014,"36E4","Bass",0.006,42
2015,"36E4","Bass",0.0061,36.01
2016,"36E4","Bass",0.0093,66.99
2013,"36E5","Bass",2e-04,2.1
2012,"36E6","Bass",6.1278,38981.05713
2013,"36E6","Bass",11.9566,73647.95
2014,"36E6","Bass",9.1334,63340.02
2015,"36E6","Bass",4.5698,38555.89
2016,"36E6","Bass",2.6817,26787.47
2012,"36E9","Bass",0.4952,2539
2013,"36E9","Bass",0.5709,3053.09
2014,"36E9","Bass",0.677,3809.15
2016,"36E9","Bass",0.0803,942.54
2012,"36F0","Bass",0.3623,2311.75
2013,"36F0","Bass",0.1522,908.2
2014,"36F0","Bass",0.4584,2569.88
2015,"36F0","Bass",1.1043,6270.06
2016,"36F0","Bass",0.1377,900.8
2013,"36F1","Bass",6e-04,4.26
2013,"36F2","Bass",1e-04,0.29
2014,"36F2","Bass",0.0018,15.3
2015,"36F2","Bass",6e-04,5.16
2012,"36F3","Bass",0.001,5.66
2015,"36F3","Bass",3e-04,2.58
2016,"36F3","Bass",0.0012,6
2012,"37E4","Bass",0.004,27.5
2013,"37E4","Bass",2e-04,1.76
2015,"37E4","Bass",1e-04,0.6
2016,"37E4","Bass",0.0015,7.5
2012,"37E5","Bass",0.0063,43.75
2012,"37E6","Bass",1.4165,9065.03
2013,"37E6","Bass",0.6418,3616.97
2014,"37E6","Bass",0.579,3670.95
2015,"37E6","Bass",1.6822,14196.54
2016,"37E6","Bass",2.1038,18532.78
2012,"37E7","Bass",0.0792,504.65
2014,"37E7","Bass",0.0115,80.5
2015,"37E7","Bass",0.0665,513
2012,"37E9","Bass",5.3035,30567.11
2013,"37E9","Bass",1.3184,7836.15
2014,"37E9","Bass",8.1724,53283.23
2015,"37E9","Bass",3.0766,26457.56
2016,"37E9","Bass",0.4497,4770.07
2012,"37F0","Bass",1.5114,8326.26
2013,"37F0","Bass",1.4042,8008.19
2014,"37F0","Bass",6.0465,36234.32
2015,"37F0","Bass",1.5495,12652.69
2016,"37F0","Bass",0.0774,787.43
2012,"37F1","Bass",0.0026,23.57
2014,"37F1","Bass",3e-04,2.58
2016,"37F1","Bass",6e-04,2.96
2012,"37F2","Bass",0.0022,16.61
2013,"37F2","Bass",6e-04,1.74
2014,"37F2","Bass",1e-04,0.86
2015,"37F2","Bass",0.0016,5.24
2016,"37F2","Bass",1e-04,1.48
2012,"37F3","Bass",0.0015,11.31
2014,"37F3","Bass",6e-04,6.36
2015,"37F3","Bass",4e-04,1.31
2016,"37F3","Bass",8e-04,4
2014,"37F6","Bass",4e-04,2.57
2012,"38E4","Bass",0.0105,83.23
2015,"38E4","Bass",0.004,28
2012,"38E5","Bass",0.2384,1669.89
2013,"38E5","Bass",1.6,11459.55
2014,"38E5","Bass",0.689,4951.98
2015,"38E5","Bass",0.396,2733.35
2016,"38E5","Bass",0.1873,1494
2012,"38E6","Bass",0.0067,34.9
2014,"38E6","Bass",0.0586,412.36
2015,"38E6","Bass",0.0025,14.82
2012,"38E8","Bass",0.2939,1677.9
2013,"38E8","Bass",0.3459,2237.06
2014,"38E8","Bass",0.0658,341.12
2015,"38E8","Bass",0.0761,578.35
2016,"38E8","Bass",0.105,723.29
2012,"38E9","Bass",0.2766,2252.68
2013,"38E9","Bass",1.0183,8003.96
2014,"38E9","Bass",0.517,3876.64
2015,"38E9","Bass",0.1462,1088.96
2016,"38E9","Bass",0.0573,549.88
2012,"38F0","Bass",0.005,25.5
2013,"38F0","Bass",0.0375,335.49
2015,"38F0","Bass",0.0028,31.45
2016,"38F0","Bass",5e-04,4.64
2012,"38F1","Bass",4e-04,3.02
2014,"38F1","Bass",4e-04,4.36
2012,"38F2","Bass",0.0033,22.89
2013,"38F2","Bass",0.001,11.44
2016,"38F2","Bass",2e-04,1.81
2012,"38F4","Bass",6e-04,1.74
2016,"38F4","Bass",7e-04,3.1
